id,title,title_general,definition,contributor,timestamps
517,Pride is a cold bedfellow,,,Eve,2023-07-19 00:00:37
518,Cut off the head and the body will die,,,Eve,2023-07-19 00:00:38
519,The little dutch boy with his finger in the dike,,,Eve,2023-07-19 00:00:39
520,A hard pill to swallow,A hard pill to swallow,"Something, especially a fact or piece of news, that is unpleasant or difficult but which is unavoidable or must be accepted. ",Miles,2023-07-19 00:00:40
521,Nothing left to do but bite the bullet,,,Eve,2023-07-19 00:00:41
522,Bring home the bacon,Bring home the bacon,"To earn money, as from steady employment. The phrase may originate from the fairground contest in which participants try to catch a greased pig in order to win it. ",,2023-07-19 00:00:42
523,Butter your bread on both sides,Butter (one's) bread on both sides,To benefit or profit from two or more separate and often contradictory or incompatible things or sources. ,Eve,2023-07-19 00:00:43
525,The bigger the pants the deeper the pockets,,,Eve,2023-07-19 00:00:45
526,Ask me your questions I’ll tell you my lies,,,Eve,2023-07-19 00:00:46
527,In the belly of the beast,In the belly of the beast,"Within the worst, most central area or part of something deeply unpleasant or malicious. ",Miles,2023-07-19 00:00:47
528,Wild goose chase,Wild goose chase,A prolonged or chaotic search for something that is difficult to find (often because it does not exist). ,Miles,2023-07-19 00:00:48
529,Jack of all trades,Jack of all trades,A person who is skilled in many different areas. ,Miles,2023-07-19 00:00:49
530,Cut the mustard,Cut the mustard,,Miles,2023-07-19 00:00:50
531,Don’t pull the wool over my eyes,,,Miles,2023-07-19 00:00:51
532,Shoot yourself in the foot,Shoot (oneself) in the foot,"To damage or impede one''s own plans, progress, or actions through foolish actions or words. ",Miles,2023-07-19 00:00:52
533,Salad days,Salad days,"A youthful, carefree time of innocence and inexperience. The phrase comes from a line in Shakespeare''s ",Miles,2023-07-19 00:00:53
930,Shake a leg,,,Christina,2023-09-01 00:00:06
537,Taste of your own medicine,A taste of (one's) own medicine,An experience of the same harmful or unpleasant thing that one has inflicted on others; an attack in the same manner in which one attacks others. ,,2023-07-20 00:00:01
538,March to the best of your own drum,,,,2023-07-20 00:00:02
539,Cross your heart and hope to die,,,,2023-07-20 00:00:03
540,Scraping the bottom of the barrel,Scrape the bottom of the barrel,"To use or select from the last or worst of the resources or options from a particular range or set, even if they are not satisfactory, because there are no others to choose from. ",,2023-07-20 00:00:04
541,Gift that keeps on giving,The gift that keeps on giving,"Something that continues to have a payoff, consequences, or other such impact. ",,2023-07-20 00:00:05
542,Let me sleep on it,,,,2023-07-20 00:00:06
543,Don’t sleep on it,,,,2023-07-20 00:00:07
544,Down the rabbit hole,Down a/the rabbit hole,"In a situation, process, or journey that is particularly strange, problematic, difficult, complex, or chaotic, especially one that becomes increasingly so as it develops or unfolds. (An allusion to ",,2023-07-20 00:00:08
545,Level the playing field,Level the playing field,"To make a situation or activity more fair and balanced by giving an extra advantage or opportunity to those who would normally be at a disadvantage, or by attempting to take away or diminish advantages, perhaps of one''s adversary or competitor. ",,2023-07-20 00:00:09
546,Your ass is grass,(one's) ass is grass,,,2023-07-20 00:00:10
847,Shit rolls down hill,,,Eve,2023-08-26 00:00:05
548,Don’t hate the player hate the game,"Don''t hate the player, hate the game",You should hate a system or situation rather than the people involved in it. ,,2023-07-20 00:00:12
549,Bucket list,Bucket list,"A list of accomplishments or tasks one hopes to do or achieve before one dies. '"Bucket'" here is taken from the phrase '"kick the bucket,'" meaning to die. ",,2023-07-20 00:00:13
550,Partner in crime,Partner in crime,One who aids or accompanies someone in crimes or nefarious actions. ,,2023-07-20 00:00:14
551,Anyway you slice it,,,,2023-07-20 00:00:15
552,All is fair in love and war,All is fair in love and war,"Otherwise questionable actions are acceptable under extenuating circumstances. Often written as '"all''s fair in love and war.'" ",,2023-07-20 00:00:16
553,Above my pay grade,Above (one's) pay grade,"The responsibility of those who are of a higher authority than oneself, denoted by the level of pay that one receives in comparison to one''s superiors. ",,2023-07-20 00:00:17
554,Not on my dime,,,,2023-07-20 00:00:18
556,Rubbing elbows,Rub elbows,To interact or mingle with a person or group. ,,2023-07-20 00:00:20
557,Beating around the bush,Beat around the bush,To speak vaguely or euphemistically so as to avoid talking directly about an unpleasant or sensitive topic. Primarily heard in US. ,,2023-07-20 00:00:21
558,Keep your friends close and your enemies closer,Keep your friends close and your enemies closer,Be very aware of your enemies' behavior in order to detect and avoid any malicious actions. ,,2023-07-20 00:00:22
559,Keep your eyes on the prize,Keep your eye(s) on the prize,"To remain focused on a particular goal or award, especially when the path to it is long or arduous. ",,2023-07-20 00:00:23
560,Under the radar,Under (the/one's) radar,"Without being noticed, detected, or addressed. ",,2023-07-20 00:00:24
561,Take under your wing,,,,2023-07-20 00:00:25
562,Straw that broke the camel’s back,The straw that breaks the camel's back,"A seemingly small or inconsequential issue, problem, or burden that proves to be the final catalyst in causing an overworked or overburdened person, system, organization, etc., to fail, give up, or collapse. ",,2023-07-20 00:00:26
563,Late in the game,Late in the game,"At a late point in some situation, development, activity, etc. Likened to an athletic game or match. ",,2023-07-20 00:00:27
564,Last straw,The last straw,"The final problem, setback, or source of irritation in a series that causes one to finally lose patience or for something to stop working. A shortening of the proverb '"it is the last straw that breaks the camel''s back.'" ",,2023-07-20 00:00:28
565,Connect the dots,Connect the dots,"Literally, to draw a line between dots, often as part of a children''s activity to create an illustration or design. ",,2023-07-20 00:00:29
566,Dancing with the devil,,,,2023-07-20 00:00:30
567,When push comes to shove,If push comes to shove,If the situation deteriorates or becomes desperate; if drastic measures are needed. ,,2023-07-20 00:00:31
568,Been around the block,Been around (the block),"To have experience, either in a particular area or in one''s life overall. ",,2023-07-20 00:00:32
569,Eye for an eye,Eye for an eye (and a tooth for a tooth).,"If someone hurts you, you should punish the offender by hurting him or her in the same way. (An ancient principle of justice going back to biblical times.) ",,2023-07-20 00:00:33
570,Eyes in the back of your head,Eyes in the back of (one's) head,"The ability to detect what is going on all around one, even beyond one''s field of vision. ",,2023-07-20 00:00:34
571,In the clear,In the clear,Deemed innocent or able to avoid blame for some crime or misdeed. ,,2023-07-20 00:00:35
572,Cold turkey,Cold turkey,The abrupt cessation of something (most often the use of a drug). ,,2023-07-20 00:00:36
573,We’re gonna need a bigger boat,,,,2023-07-20 00:00:37
574,It’s all greek to me,(it's) (all) greek to me,"This might as well be a foreign language, because I don''t understand it at all. The phrase comes from Shakespeare''s play ",,2023-07-20 00:00:38
575,How do you like them apples,How do you like them apples,"A phrase used to draw attention to one''s cleverness or superiority to the one being addressed, especially after a recent triumph. ",,2023-07-20 00:00:39
576,Break the mold,Break the mold,To do something in a new way. ,,2023-07-20 00:00:40
577,Worth your weight in salt,,,,2023-07-20 00:00:41
578,Turn on a dime,Turn on a dime,To turn very quickly and with great agility. ,,2023-07-20 00:00:42
579,Hold down the fort,Hold (down) the fort,"To maintain the proper functioning or order of some situation or place, typically during someone''s absence. ",,2023-07-20 00:00:43
580,I’m all ears,I'm all ears,I'm ready and eager to hear what you have to say. ,Miles,2023-07-23 00:00:01
675,Kick rocks,Kick rocks,An expression of disdain used to tell someone to go away or quit bothering one. ,,2023-08-09 00:00:03
581,Bend over backwards,Bend over backward(s),To exert a lot of effort towards some end. This phrase is often used to express frustration when one's efforts go unrecognized. ,,2023-07-23 00:00:02
582,Wrapped around their little finger,,,Eve,2023-07-17 00:10:00
583,No spring chicken,No spring chicken,"No longer young or youthful. (A '"spring chicken'" refers to a young chicken.) ",Eve,2023-07-23 00:00:03
584,Counting sheep,Count sheep,To perform any repetitive or monotonous thought exercise as a means of calming the mind to try to fall asleep (such as the traditional sleep aid of counting imaginary sheep). ,Eve,2023-07-23 00:00:04
585,Leg up in life,,,Eve,2023-07-23 00:00:05
586,Put your pants on one leg at a time,Put (one's) pants on one leg at a time (just like everybody else),"To be an ordinary human being; to go through life like everyone else. (Used especially in reference to someone who is of an elevated social status, such as a celebrity, star athlete, member of royalty, etc. Variations of '"everybody else'" are also often used, such as '"the rest of us,'" '"you and me,'" '"ordinary people,'" and so on.) Primarily heard in Australia. ",Eve,2023-07-23 00:00:06
587,Boots on the ground,Boots on the ground,Soldiers who are on active duty and physically present during a combat operation. ,Eve,2023-07-23 00:00:07
588,Down to the nitty gritty,,,Eve,2023-07-23 00:00:08
589,Knock on wood,Knock on wood,"A superstitious expression said, typically in combination with actually touching or knocking on a wooden object or surface, when one desires something positive to continue, lest the mention of it '"jinx'" or somehow reverse one''s good fortune. ",,2023-07-23 00:00:09
590,Salt of the earth,The salt of the earth,"A person or group that is regarded as genuine, unpretentious, and morally sound. This phrase is typically complimentary. ",,2023-07-23 00:00:10
591,Under the weather,Under the weather,Mildly ill. ,,2023-07-23 00:00:11
592,Fly in in the ointment,,,,2023-07-23 00:00:12
593,Nothing to write home about,Nothing to write home about,"Not especially impressive, remarkable, or noteworthy; rather dull, mediocre, uninteresting, or unimportant. ",,2023-07-23 00:00:13
594,A hired gun,,,,2023-07-23 00:00:14
595,Dropped the ball,Drop the ball,To make a mistake. ,,2023-07-23 00:00:15
597,Open the floodgates,Open the floodgates,To allow for an expanding number of (typically negative) consequences as the result of another related action. ,,2023-07-23 00:00:17
598,See a man about a horse,See a man about a horse,"To leave somewhere without explaining where one is going, but usually used as an obvious euphemism for going to the toilet or getting an alcoholic drink. ",,2023-07-23 00:00:18
599,Taken with a grain of salt,Take (something) with a grain of salt,"To consider or evaluate something, such as a statement, with the understanding that it may not be completely true or accurate, typically due to the unreliability of the source. ",,2023-07-23 00:00:19
600,Trust you as far as i can throw you,,,,2023-07-23 00:00:20
601,You made your bed now you got to lay in it,,,,2023-07-23 00:00:21
602,Rolling with the punches,Roll with the punches,"Literally, in martial arts (especially boxing), to maneuver one''s body away from a blow so as to lessen the force of the impact. ",,2023-07-23 00:00:22
603,Two way street,Two-way street,A situation in which both sides must put forth an equal amount of effort to achieve a desired result. ,Eve,2023-07-24 00:00:01
604,Double down,Double down,"In blackjack, to double one''s wager after seeing one''s initial hand of cards, with only one more card allowed to be drawn afterward. ",Eve,2023-07-23 00:00:23
605,Stand your ground,Stand (one's) ground,To brace oneself and maintain one's position during or when anticipating an attack. ,Eve,2023-07-23 00:00:24
606,Dust your shoulders off,,,Eve,2023-07-23 00:00:25
607,Blowing steam,,,Miles,2023-07-24 00:00:02
608,Thrown to the wolves,Wolf,,Eve,2023-07-24 00:00:03
609,Throw under the bus,Throw (one) under the bus,"To exploit one''s trust for an ulterior purpose, advantage, or agenda; to harm one through deceit or treachery. ",Eve,2023-07-24 00:00:04
610,Raised by wolves,Raised by wolves,Of or describing someone who seems particularly uncouth or socially inept. ,Eve,2023-07-24 00:00:05
611,Leaving a trail of breadcrumbs,,,Eve,2023-07-24 00:00:06
612,Get with the program,Get with the program,To conform or fall in line with what is expected. ,Miles,2023-07-24 00:00:07
613,Water under the bridge,Water under the bridge,A prior issue that is now resolved or considered resolved. ,,2023-07-24 00:00:08
615,On the shoulders with of giants,,,Eve,2023-07-25 00:00:01
616,Pull out all the stops,Pull out all the stops,To do something with maximum effort or ability; to use all or the best available resources when doing something. ,Eve,2023-07-24 00:00:10
617,Steal their thunder,Steal (one's) thunder,"To garner the attention or praise that one had been expecting or receiving for some accomplishment, announcement, etc. ",Eve,2023-07-24 00:00:11
618,Wash your hands of the whole affair,,,Eve,2023-07-24 00:00:12
619,Break the bank,Break the bank,To be very expensive. The phrase is often used in the negative to convey the opposite. ,,2023-07-25 00:00:02
620,Speak of the devil and he shall appear,"Speak of the devil, and he shall appear",An acknowledgment of a person who has arrived just as or after they were being discussed. ,,2023-07-25 00:00:03
621,Curiosity killed the cat but satisfaction brought it back,,,,2023-07-25 00:00:04
622,Wake up and smell the coffee,Wake up and smell the coffee,Pay attention to what is happening. ,,2023-07-25 00:00:05
623,You can’t put the toothpaste back in the tube,Put the toothpaste back in the tube,"To attempt to revert a situation to how it formerly existed by containing, limiting, or repressing information, ideas, advancements, etc., that have become commonplace or public knowledge. Almost always used in the negative to denote the impossibility of such an attempt. ",,2023-07-25 00:00:06
624,A pictures worth a 1000 words,,,,2023-07-25 00:00:07
625,Doing the lord’s work,,,,2023-07-25 00:00:08
626,When small men cast long shadows the day is almost over,,,,2023-07-25 00:00:09
627,Meat and potatoes,Meat-and-potatoes,Concerned with or pertaining to the most basic or fundamental aspects of something. ,,2023-07-25 00:00:10
628,Beating your head against the wall,Beat (one's) head against a/the wall,To attempt continuously and fruitlessly to accomplish some task or achieve some goal that is or seems ultimately hopeless. ,,2023-07-25 00:00:11
629,Barking up the wrong tree,Bark up the wrong tree,"To attempt or pursue a futile course of action, often by making some kind of suggestion or request. ",,2023-07-25 00:00:12
630,Falling on deaf ears,Fall on deaf ears,To be ignored. ,,2023-07-25 00:00:13
631,Don’t ask how the sausage is made,,,,2023-07-25 00:00:14
696,Play it by ear,Play by ear,"To play a piece of music without referencing sheet music or a recording. In this usage, a noun or pronoun can be used between '"play'" and '"by ear.'" ",Miles,2023-08-11 00:00:05
697,Getting something off your chest,get (something) off (one's) chest,"To reveal or discuss something that has caused one emotional discomfort and that one has repressed, kept hidden, or neglected to discuss earlier.",Miles,2023-08-11 00:00:06
632,The emperor’s new clothes,The emperor's new clothes,"Something widely accepted as true or professed as being praiseworthy due to an unwillingness of the general population to criticize it or be seen as going against popular opinion. Taken from the Hans Christian Andersen fable of the same name, in which a vain king is sold imaginary clothing (i.e., nothing at all) by two weavers who promise him that it is visible only to the wise and cannot be seen by those who are ignorant, incompetent, or unfit for their position. ",,2023-07-25 00:00:15
633,Kick into gear,,,,2023-07-25 00:00:16
634,Shooting the shit,Shoot the shit,"To chat or converse aimlessly or casually, without any serious topic of conversation. ",,2023-07-25 00:00:17
635,Something’s rotten in denmark,Something is rotten in (the state of) denmark,Something strange or suspicious is going on. The line comes from Shakespeare's ,Eve,2023-07-26 00:00:01
636,Exit stage left,Exit stage left,"An allusion to stage directions in theater, indicating when (and where) an actor should leave the stage from a scene.",Miles,2023-07-26 00:00:02
637,Waiting for the dust to settle,Wait for the dust to settle,To wait until a disturbance or commotion has lessened or been resolved. ,Miles,2023-07-26 00:00:03
638,Throw dust in your eyes,Throw dust in (one's) eyes,To mislead or deceive one by presenting or introducing distracting or obfuscating information. ,Eve,2023-07-26 00:00:04
639,Achilles heel,Achilles' heel,"A weakness or vulnerability that can lead to permanent destruction or downfall. In Greek mythology, the hero Achilles was killed after being struck in the heel—the only weak spot on his body. ",Miles,2023-07-26 00:00:05
640,A chain is only as strong as it’s weakest link,,,Miles,2023-07-26 00:00:06
641,A chink in the armor,Chink in (one's)/the armor,A minor but very detrimental flaw or weakness. ,Eve,2023-07-26 00:00:07
642,Missing link,Missing link,A hypothetical extinct animal that is believed to be the evolutionary connection between man and ape. ,Miles,2023-07-26 00:00:08
643,Changing gears,Change gear,"Literally, to switch a car, bicycle, or other vehicle into a different gear. ",Matt,2023-07-27 00:00:01
644,When you hear hoofbeats think horses not zebras,"When you hear hoofbeats, think horses, not zebras.","The simplest, most common, or most obvious explanation for something is most likely the correct one. Used especially in relation to medical diagnoses. ",Matt,2023-07-27 00:00:02
645,In over your head,In over (one's) head,"Too deeply involved in or with a difficult situation, beyond the point of being able to control or cope any longer. ",,2023-07-27 00:00:03
646,Plenty of fish in the sea,There are plenty of (other) fish in the sea,"There are many other excellent or more suitable people, things, opportunities, or possibilities in the world that one may find. Said especially when one has recently been unlucky, unsuccessful, or has broken up with a romantic partner. ",,2023-07-27 00:00:04
647,My dogs are barking,(one's) dogs are barking,One's feet are very sore and tired from physical exertion. ,,2023-07-27 00:00:05
649,Put your money where your mouth is,Put (one's) money where (one's) mouth is,"To do, live up to, or follow through on something one talks about, threatens, or promises, especially (but not always) when it involves spending money. ",,2023-07-27 00:00:07
650,Maiden voyage,Maiden voyage,"The first time a vehicle, especially a boat or ship, departs on a journey. ",,2023-07-27 00:00:08
651,No guts no glory,"No guts, no glory",Success does not come without the courage to take risks. ,,2023-07-27 00:00:09
652,Flash in the pan,Flash in the pan,Someone or something whose success or popularity is short-lived. ,,2023-07-27 00:00:10
653,It’s better to burn out than fade away,,,,2023-07-27 00:00:11
654,Left in the lurch,Leave (one) in the lurch,"To leave or abandon one without assistance in a particularly awkward, difficult, or troublesome situation. ",,2023-07-27 00:00:12
655,High and dry,High and dry,"Literally, dry and unaffected by water, typically flood waters. ",,2023-07-27 00:00:13
656,Bury the lead,Bury the lead,"In journalism, to open a news article with secondary or superfluous information, thus relegating the central premise (the lead, which usually occupies this position) to a later part. '"Lead'" in this sense is sometimes written as '"lede.'" ",,2023-07-27 00:00:14
657,The sky is the limit,The sky's the limit,Anything is possible. ,,2023-07-27 00:00:15
658,A rising tide lifts al boats,,,,2023-07-27 00:00:16
676,Takes the cake,Take the cake,To be the worst in a series of negative actions. Primarily heard in US. ,Miles,2023-08-09 00:00:04
677,Wrap it up,Wrap it up,To get to the point of what one is saying. Often used as an imperative. ,Miles,2023-08-09 00:00:05
678,Cut some slack,Cut (one) some slack,To allow one more latitude or freedom than usual; to be more lenient with one. ,Miles,2023-08-09 00:00:06
679,When shit hits the fan,(the) shit hits the fan,"Things have become suddenly very chaotic, disastrous, difficult, or controversial. ",Miles,2023-08-09 00:00:07
680,Under the sun,Under the sun,On earth; in existence. ,Christina,2023-08-09 00:00:08
681,Gravy train,The gravy train,"A state, position, or job in which one makes an excessive amount of money without expending much or any effort. ",Miles,2023-08-09 00:00:09
682,Hill i’m willing to die on,,,Miles,2023-08-09 00:00:10
683,Let your hair down,Let (one's) hair down,"To cease acting formally or conservatively; to ignore or relinquish one''s inhibitions or reservations. Also worded as '"let down (one''s) hair.'" ",Christina,2023-08-09 00:00:11
685,Kick to the curb,Kick (someone or something) to the curb,"To discard, abandon, or dismiss someone or something that has become redundant, obsolete, useless, or unwanted. ",Christina,2023-08-09 00:00:13
686,Clean slate,Clean slate,An opportunity to start fresh despite past mistakes or problems. ,Christina,2023-08-09 00:00:14
687,On top of the world,On top of the world,Elated; blissfully or triumphantly happy. ,Miles,2023-08-09 00:00:15
689,Nothing to hang your hat on,,,,2023-08-09 00:00:17
690,Pull some strings,Pull (some/a few) strings,"To use the power or influence one has over others, especially people of importance, to get what one wants or to help someone else. ",Miles,2023-08-10 00:00:01
691,Shit the bed,Shit the bed,To fail spectacularly or to a great degree. ,Christina,2023-08-10 00:00:02
692,Another notch on your belt,,,Miles,2023-08-11 00:00:01
693,Shits and giggles,Shits and giggles,Fun or amusement derived without any serious purpose or motivation. ,Miles,2023-08-11 00:00:02
694,Neck and neck,Neck and neck,Extremely close together; at or near an equal level. Usually said of competitors in a race or competition. ,Miles,2023-08-11 00:00:03
695,Get this show on the road,Get this show on the road,To promptly begin or get something started. ,Miles,2023-08-11 00:00:04
648,Make it rain,Make it rain,To throw or drop dollar bills in a show of wealth. ,,2023-07-27 00:00:06
699,Put it past someone,,,Miles,2023-08-11 00:00:08
700,Trusting you as far as you can throw them,,,Miles,2023-08-11 00:00:09
701,Closed mouths don’t get fed,,,Eve,2023-08-11 00:00:10
702,Throw me a bone,Throw (one) a bone,To attempt to appease or placate someone by giving them something trivial or of minor importance or by doing some small favor for them. (A reference to giving a dog a bone or scrap from a bigger portion of food.) ,Miles,2023-08-13 00:00:01
703,Not my cup of tea,Cup of tea,"Something one prefers, desires, enjoys, or cares about. Often used in the negative to mean the opposite. ",Miles,2023-08-13 00:00:02
704,Spill the tea,Spill the tea,"To share or reveal gossip. '"Tea'" is a slang term for gossip. ",Christina,2023-08-13 00:00:03
705,Off the bat,Off the bat,In a trajectory caused by being hit by a bat. ,,2023-08-14 00:00:01
706,Pulling a rabbit out of a hat,Pull a rabbit out of a hat,"To do something surprising and seemingly impossible; to produce something in a way that has no obvious explanation, as if done by magic. A reference to the magician''s trick of literally pulling a live rabbit out of a hat. ",,2023-08-14 00:00:02
707,Scratched the surface,Scratch,,,2023-08-14 00:00:03
708,Rub off on someone,Rub off,To come off (of something else) after being rubbed. ,,2023-08-14 00:00:04
716,Sight for sore eyes,A sight for sore eyes,"Someone or something that one is excited or overjoyed to see, often after a long absence or separation. ",Miles,2023-08-15 00:00:08
717,In the pit of your stomach,,,Christina,2023-08-15 00:00:09
718,Lump in your throat,Lump in (one's) throat,"An intense emotional reaction resulting in a sensation of tightness in the throat, as often precedes crying. ",Miles,2023-08-15 00:00:10
719,Knock out of the park,Knock (something) out of the (ball)park,To do or perform something extraordinarily well; to produce or earn an exceptional achievement. An allusion to a baseball that is hit hard enough to land outside the stadium. ,Miles,2023-08-15 00:00:11
720,On pins and needles,On pins and needles,Anxious and tense. (Likely an allusion to the tingling sensation that occurs when blood flow returns to a numb limb.) ,Christina,2023-08-15 00:00:12
721,Chicken with its head cut off,Like a chicken with its head cut off,With great haste and in a careless or senseless manner. ,Miles,2023-08-15 00:00:13
722,Over the hill,Over the hill,Past the peak of one's life or career; too old. Often hyphenated. ,Miles,2023-08-15 00:00:14
723,Piece of cake,Piece of cake,A very easy task or accomplishment. ,Christina,2023-08-15 00:00:15
724,Have a cow,Have a cow,"To get very upset about something, often more than is expected or warranted. ",Christina,2023-08-15 00:00:16
725,Bum rush,Bum rush,To attack or barge into a person or place forcefully or violently. ,Miles,2023-08-15 00:00:17
726,To die for,To die for,"Extremely attractive, enjoyable, or desirable. ",Miles,2023-08-15 00:00:18
727,Blow your cover,Blow (one's) cover,"To expose one''s true identity or motives after they had been intentionally concealed (i.e. after one had been '"undercover'"). ",Miles,2023-08-15 00:00:19
728,Don’t judge a fish by its ability to climb a tree,,,Miles,2023-08-15 00:00:20
729,The devil is in the details,The devil is in the detail(s),"Plans, actions, or situations that seem sound must be carefully examined, because minor details can end up causing major, unforeseen problems. ",Christina,2023-08-15 00:00:21
730,Cleanliness is next to godliness,Cleanliness is next to godliness,A phrase that strongly encourages and promotes neatness and personal hygiene. ,Christina,2023-08-15 00:00:22
731,This town ain’t big enough for the two of us,,,Miles,2023-08-15 00:00:23
732,Time for a gun fight,,,Christina,2023-08-15 00:00:24
733,Pop you’re cherry,,,Christina,2023-08-15 00:00:25
734,Get your rocks off,Get (one's) rocks off,,Miles,2023-08-15 00:00:26
735,Rock your socks off,,,Christina,2023-08-15 00:00:27
736,Cool your jets,Cool (one's) jets,To calm oneself down; to become less agitated. ,Miles,2023-08-15 00:00:28
737,Knee jerk reaction,Knee-jerk reaction,"Any spontaneous, reflexive, and unthinking reaction or response. ",,2023-08-16 00:00:01
738,Ruffle your feathers,Ruffle (one's) feathers,"To annoy, irritate, or upset someone. ",,2023-08-16 00:00:02
739,Turn over a new leaf,Turn over a new leaf,"To change one''s behavior, usually in a positive way. ",Miles,2023-08-17 00:00:01
740,Rounding the bend,,,Miles,2023-08-18 00:00:01
741,Par for the course,Par for the course,"Normal, typical, or to be expected (especially when something is a source of annoyance or frustration). An allusion to golf, in which '"par'" is the number of strokes that it should take a player to get the ball into a particular hole on a golf course. ",Miles,2023-08-18 00:00:02
742,Up in arms,Up in arms,"Very upset or angry about something. Likened to an armed rebellion, from which the phrase originated. ",Miles,2023-08-18 00:00:03
743,With guns blazing,With (one's) guns blazing,"Forcefully and with all of one''s energy and a strong sense of urgency or purpose, especially when directed at an argument or problem that has angered or frustrated one. ",Miles,2023-08-18 00:00:04
744,Make heads or tails of it,,,Miles,2023-08-18 00:00:05
745,Tits up,Tits up,"mildly vulgar Broken or malfunctioning; dead, falling apart, or ceasing to work. ('"Tits up'" is sometimes hyphenated.) ",Miles,2023-08-18 00:00:06
746,Sit on it,Sit on it,An exclamation of frustration directed at another person. Popularized by the TV show ,Miles,2023-08-18 00:00:07
747,Sticking your foot in your mouth,,,Miles,2023-08-18 00:00:08
748,Get off on the wrong foot,Get off on the wrong foot,To have a bad start. Said of something that goes or has gone awry at the very beginning. ,Miles,2023-08-18 00:00:09
749,Bright eyed and bushy tailed,Bright-eyed and bushy-tailed,Energetic and enthusiastic. ,Ryan,2023-08-18 00:00:10
750,Squeezing the lemon,,,Ryan,2023-08-18 00:00:11
751,Bleeding the lizard,,,Miles,2023-08-18 00:00:12
752,Choking the chicken,Choke the chicken,To masturbate. A term only applied to males. ,Ryan,2023-08-18 00:00:13
753,Beating the meat,Beat (one's) meat,To masturbate. A term only applied to males. ,Ryan,2023-08-18 00:00:14
754,Flicking the bean,,,Miles,2023-08-18 00:00:15
755,Soften the blow,Soften the blow,To make the impact of something negative less harmful. ,Ryan,2023-08-18 00:00:16
756,Sitting pretty,Sit pretty,To be or remain in an ideal situation or advantageous position. ,Ryan,2023-08-18 00:00:17
757,Tasted grapes,,,Ryan,2023-08-18 00:00:18
759,Walking on sunshine,Walk on sunshine,To be in a state of euphoria. ,Miles,2023-08-18 00:00:20
986,Wind down/wind up,,,Christina,2023-09-09 00:00:01
1052,Licking someone’s boots,,,Miles,2023-10-27 00:00:05
774,Golden goose,Golden goose,"A person, thing, or organization that is or has the potential to earn a lot of money for a long period of time. Taken from a folk tale of a goose that would lay a golden egg once a day, but which was killed by its owner because he wanted all of its gold at once. ",Miles,2023-08-20 00:00:09
775,Beyond the pale,Beyond the pale,"Completely unacceptable or inappropriate. A '"pale'" is an area bounded by a fence. ",Eve,2023-08-20 00:00:10
776,Revenge is a dish best served cold,Revenge is a dish best served cold.,"Revenge that takes place far in the future, after the offending party has forgotten how they wronged someone, is much more satisfying. ",Miles,2023-08-21 00:00:01
777,Fall from grace,Fall from grace,"To fall out of favor, typically due to having done something that tarnishes one''s reputation. ",Eve,2023-08-22 00:00:01
779,Do the honors,Do the honors,"To perform a task or duty of an official nature, often in a social setting. Sometimes used humorously. ",Miles,2023-08-22 00:00:03
780,That tracks,,,Miles,2023-08-22 00:00:04
781,Pull the trigger,Pull the trigger (on something),To make a final decision or commit to a certain course of action (about something). ,Miles,2023-08-22 00:00:05
782,In the the chute,,,Miles,2023-08-22 00:00:06
783,Down the hatch,Down the hatch,Down one's throat. This phrase is usually said before one drinks something (often something that has an especially foul or strong taste). ,Miles,2023-08-22 00:00:07
784,Batten down the hatches,Batten down the hatches,"To prepare for a challenging situation. While this originated as a nautical phrase, it is now used for any sort of imminent problem. ",Eve,2023-08-22 00:00:08
785,To not give two shits,,,,2023-08-22 00:00:09
786,Dog and pony show,Dog and pony show,An elaborately organized event used mainly for promotion or to drive sales. ,Eve,2023-08-22 00:00:10
787,Throw your hat in the ring,Throw (one's) hat in(to) the ring,"To announce that one is going to be competing with others, especially in a political election. ",Eve,2023-08-22 00:00:11
788,My enemy’s enemy is my friend,My enemy's enemy is my friend,A phrase highlighting how a common enemy can be a unifying force for otherwise disparate groups or people. ,Miles,2023-08-22 00:00:12
789,Taking the high road,,,Miles,2023-08-22 00:00:13
790,Have a falling out,A falling out,"A severe quarrel or disagreement, especially one that leads to a temporary or permanent end of a relationship. ",Miles,2023-08-22 00:00:14
791,A broken record,,,MIles,2023-08-23 00:00:01
848,In a heartbeat,In a heartbeat,Very quickly; as soon as is possible. ,Miles,2023-08-26 00:00:06
792,A bridge too far,A bridge too far,"An act or plan whose ambition overreaches its capability, resulting in or potentially leading to difficulty or failure. Taken from the 1974 book ",Miles,2023-08-23 00:00:02
793,Think outside the box,Think outside (of) the box,"To think of something that is outside of or beyond what is considered usual, traditional, or conventional; to think innovatively. ",Miles,2023-08-23 00:00:03
794,One fell swoop,One fell swoop,A single decisive or powerful action. ,Miles,2023-08-23 00:00:04
795,Addressing the elephant in the room,,,Miles,2023-08-23 00:00:05
796,Opening up pandora’s box,,,Miles,2023-08-23 00:00:06
797,Pot of gold at the end of the rainbow,Pot of gold at the end of the rainbow,"The ultimate goal, reward, achievement, etc., at the end of a difficult or arduous process. ",Miles,2023-08-23 00:00:07
798,Live off the fat of the land,Live off the fat of the land,"To live comfortably on a surplus of resources, without working very hard. ",Miles,2023-08-23 00:00:08
799,Get a lay of the land,,,Miles,2023-08-23 00:00:09
800,Get the juices flowing,,,Miles,2023-08-24 00:00:01
